date,cash,market_value,total_value,positions,benchmark_price,strategy_nav,benchmark_nav
2025-09-05,901785.0,231030.0,1132815.0,1,4460.325,1.132815,1.074197042031038
2025-09-08,901785.0,237796.0,1139581.0,1,4467.573,1.139581,1.0759426054508878
2025-09-09,901785.0,238527.0,1140312.0,1,4436.258,1.140312,1.0684008948420864
2025-09-10,901785.0,237286.0,1139071.0,1,4445.365,1.139071,1.0705941683057414
2025-09-11,901785.0,238782.0,1140567.0,1,4548.035,1.140567,1.0953205750822266
2025-09-12,901785.0,236300.0,1138085.0,1,4521.998,1.138085,1.089049985297096
2025-09-15,901785.0,236470.0,1138255.0,1,4533.056,1.138255,1.0917131255146317
2025-09-16,901785.0,235365.0,1137150.0,1,4523.337,1.13715,1.0893724617622147
2025-09-17,901785.0,232900.0,1134685.0,1,4551.023,1.134685,1.0960401864920655
2025-09-18,901785.0,227290.0,1129075.0,1,4498.109,1.129075,1.0832967065254644
2025-09-19,901785.0,229245.0,1131030.0,1,4501.92,1.13103,1.0842145241569552
2025-09-22,901785.0,227086.0,1128871.0,1,4522.608,1.128871,1.0891968939182481
2025-09-23,901785.0,225437.0,1127222.0,1,4519.778,1.127222,1.0885153342496257
2025-09-24,901785.0,224247.0,1126032.0,1,4566.071,1.126032,1.0996642535922168
2025-09-25,901785.0,220082.0,1121867.0,1,4593.488,1.121867,1.1062671940284776
2025-09-26,901785.0,216886.0,1118671.0,1,4550.049,1.118671,1.0958056143658328
2025-09-29,901785.0,226202.0,1127987.0,1,4620.053,1.127987,1.1126649440627363
2025-09-30,901785.0,224264.0,1126049.0,1,4640.694,1.126049,1.1176359946351864
2025-10-09,901785.0,220762.0,1122547.0,1,4709.482,1.122547,1.1342024704250067
2025-10-10,901785.0,219079.0,1120864.0,1,4616.834,1.120864,1.1118897000439039
2025-10-13,901785.0,216410.0,1118195.0,1,4593.979,1.118195,1.1063854434268146
2025-10-14,901785.0,225505.0,1127290.0,1,4539.064,1.12729,1.0931600550160745
2025-10-15,901785.0,228854.0,1130639.0,1,4606.288,1.130639,1.1093498667346138
2025-10-16,901785.0,232985.0,1134770.0,1,4618.422,1.13477,1.1122721441265089
2025-10-17,901785.0,229500.0,1131285.0,1,4514.235,1.131285,1.0871803924675856
2025-10-20,901785.0,226355.0,1128140.0,1,4538.22,1.12814,1.0929567912845137
2025-10-21,901785.0,228157.0,1129942.0,1,4607.872,1.129942,1.1097313474819983
2025-10-22,901785.0,228939.0,1130724.0,1,4592.57,1.130724,1.1060461085953344
2025-10-23,901785.0,232186.0,1133971.0,1,4606.345,1.133971,1.1093635942615085
2025-10-24,901785.0,221408.0,1123193.0,1,4660.684,1.123193,1.1224502624004724
2025-10-27,901785.0,219980.0,1121765.0,1,4716.019,1.121765,1.1357768010093827
2025-10-28,901785.0,221833.0,1123618.0,1,4691.973,1.123618,1.1299857113303395
2025-10-29,901785.0,220779.0,1122564.0,1,4747.838,1.122564,1.143439891855988
2025-10-30,901785.0,220796.0,1122581.0,1,4709.911,1.122581,1.1343057881274232
2025-10-31,901785.0,228718.0,1130503.0,1,4640.668,1.130503,1.1176297329562517
2025-11-03,901785.0,229568.0,1131353.0,1,4653.403,1.131353,1.1206967514650523
2025-11-04,901785.0,226270.0,1128055.0,1,4618.699,1.128055,1.1123388550905402
2025-11-05,901785.0,224689.0,1126474.0,1,4627.257,1.126474,1.1143999107951585
2025-11-06,901785.0,224230.0,1126015.0,1,4693.403,1.126015,1.1303301036717281
2025-11-07,901785.0,223805.0,1125590.0,1,4678.794,1.12559,1.1268117626120449
2025-11-10,901785.0,242233.0,1144018.0,1,4695.051,1.144018,1.1307269977826433
2025-11-11,901785.0,240788.0,1142573.0,1,4652.166,1.142573,1.120398840048061
2025-11-12,901785.0,241179.0,1142964.0,1,4645.908,1.142964,1.1188917020953264
2025-11-13,901785.0,243644.0,1145429.0,1,4702.074,1.145429,1.1324183735963302
2025-11-14,901785.0,237354.0,1139139.0,1,4628.14,1.139139,1.114612567045121
2025-11-17,901785.0,238000.0,1139785.0,1,4598.053,1.139785,1.1073666003490645
